"avgAnnCount","avgDeathsPerYear","TARGET_deathRate","incidenceRate","medIncome","popEst2015","studyPerCap","binnedInc","MedianAge","MedianAgeMale","MedianAgeFemale","AvgHouseholdSize","PctMarriedHouseholds","BirthRate","Data","PctEmpPrivCoverage.greater.than.mean","povertyNum","marriedNum","PctNoHS18_24Num","PctHS18_24Num","PctSomeCol18_24Num","PctBachDeg18_24Num","PctHS25_OverNum","PctBachDeg25_OverNum","PctEmployed16_OverNum","PctUnemployed16_OverNum","PctPrivateCoverageNum","PctPrivateCoverageAloneNum","PctPublicCoverageNum","PctPublicCoverageAloneNum","PctWhiteNum","PctBlackNum","PctAsianNum","PctOtherRaceNum"
42,17,150.3,473.4,43305,5539,0,"(42724.4, 45201]",48,46.4,48.9,2.15,48.91433083,8.546059933,"Training",FALSE,90286,311292,93056,284151,121858,54837,214914,70346,327355,21603,362251,252579,225438,112996,488533,0,2564,296
41,18,213.6,492.5,41045,5265,0,"(40362.7, 42724.4]",45.1,44.8,45.7,2.23,49.54318937,5.876865672,"Training",FALSE,92138,290628,104774,170060,249035,2633,217971,34223,272727,39488,306423,204282,264830,144788,509977,2054,2445,98
517,183,172.2,519.3,39808,72528,261.9677917,"(37413.8, 40362.7]",41.5,39,44.1,2.33,45.91512498,4.613602728,"Training",TRUE,1341768,3205738,667258,2175840,4068821,340882,3046176,667258,3481344,725280,4815860,3423322,3162221,1660892,6425546,581613,62718,20512
1962.667684,41,187.9,453.5494221,41909,13875,0,"(40362.7, 42724.4]",43.3,41.6,44.7,2.35,47.68200247,5.574778931,"Training",FALSE,219225,724275,309413,384338,639638,54113,545288,122101,752025,72150,867188,591075,661838,348263,1337482,13211,8068,2522
81,38,199.9,423.1,35701,10368,0,"(34218.1, 37413.8]",50.4,50.6,50.2,2.73,51.19894598,5.158324821,"Training",FALSE,196992,513216,218765,462413,355623,0,464487,79834,351476,125453,494554,502369,533952,257127,935703,91068,1490,1788
48,17,139.2,397.2,40328,7829,0,"(37413.8, 40362.7]",579.6,48.2,48.5,2.08,47.56097561,2.9390681,"Training",FALSE,151100,411806,60284,422766,264621,35231,261489,94731,359352,82988,428247,285759,378141,200423,706827,4793,6390,18670
90,35,159.2,425.7,55008,15267,0,"(54545.6, 61494.5]",43.8,42,45.6,2.4,53.78479825,5.051131082,"Training",TRUE,145037,859533,403049,447324,615261,61068,618314,203052,870219,94656,1093118,809151,483964,219845,1484840,2353,883,13137
243,93,161.4,440,37884,34201,0,"(37413.8, 40362.7]",49,46.4,50.9,2.16,51.66065911,5.212083268,"Training",FALSE,619039,1987079,844765,848185,1409082,318070,1019190,509595,1617708,249668,1894736,1203876,1518525,742162,3153099,37812,24603,145803
3240,1365,188.9,453.1,46185,687623,578.8055373,"(45201, 48021.6]",36.5,35.3,37.7,2.44,39.58795563,5.730193853,"Training",TRUE,11345780,29774076,9764247,21660125,28330068,9076624,20009830,12514739,42013766,5225935,45383118,37131642,20422404,11827116,45772594,16331760,1205579,2886198
317,123,183.4,472.1,48166,63710,0,"(48021.6, 51046.4]",40.2,38.8,42.2,2.58,52.38662469,3.545493379,"Training",FALSE,981134,3287436,1178635,2166140,2790498,235727,1994123,866456,3440340,630729,3848084,2981628,2255334,1331539,4292469,1636931,27511,203722
296,115,183.6,469.2,36736,73309,0,"(34218.1, 37413.8]",28.5,26.6,31.1,2.67,51.65941773,8.722576079,"Training",FALSE,1583475,3746090,894370,3350222,2888375,205266,2397205,762414,3188942,931025,4750424,3665450,2397205,1414864,5311515,1455227,105379,65046
108,51,185.8,396.8,54086,22872,87.44316194,"(51046.4, 54545.6]",41.2,39.8,42.7,2.57,62.51130199,3.468663776,"Training",TRUE,253880,1408916,564939,626693,928604,166966,974348,295049,1408916,146381,1683380,1379182,663288,345368,2241726,5485,12666,7280
524,211,184.2,461.9,43065,104091,9.606978509,"(42724.4, 45201]",39.4,38,40.4,2.58,51.58581605,7.159837221,"Training",TRUE,1821593,5381505,1332365,3851367,4756959,468410,3362140,1342774,5558460,1165820,6620188,5043602,3674413,2040184,9545874,481996,107700,61295
248,156,245.2,394.3,42471,57580,0,"(40362.7, 42724.4]",38.9,38.2,41.3,2.68,52.91270837,7.105682422,"Training",TRUE,1174632,2562310,1393436,2948096,1301308,115160,2124702,431850,2383812,247594,3437526,2677470,1963478,1094020,4271052,1219406,35295,135512
